,city,geographic_area,share_white_x,share_black_x,share_native_american_x,share_asian_x,share_hispanic_x,share_white_y,share_black_y,share_native_american_y,share_asian_y,share_hispanic_y,median_income,percent_completed_hs,poverty_rate
684,loomis town,CA,"89,20","0,50","1,20","2,60","8,80","89,20","0,50","1,20","2,60","8,80","89706,00","96,40","2,40"
685,los alamitos city,CA,"71,00","2,80","0,40","12,80","21,10","71,00","2,80","0,40","12,80","21,10","80033,00","91,70","11,20"
686,los alamos cdp,CA,"88,20","0,30","0,50","1,70","40,90","88,20","0,30","0,50","1,70","40,90","61115,00","77,30","26,50"
687,los altos city,CA,"70,60","0,50","0,20","23,50","3,90","70,60","0,50","0,20","23,50","3,90","175938,00","98,70","2,60"
688,los altos hills town,CA,"68,40","0,50","0,10","26,60","2,70","68,40","0,50","0,10","26,60","2,70","226319,00","98,00","5,30"
689,los angeles city,CA,"49,80","9,60","0,70","11,30","48,50","49,80","9,60","0,70","11,30","48,50","50205,00","75,50","22,10"
690,los banos city,CA,"58,00","3,80","1,40","3,20","64,90","58,00","3,80","1,40","3,20","64,90","44292,00","66,80","26,20"
691,los berros cdp,CA,"82,20","0,60","0,20","1,90","23,90","82,20","0,60","0,20","1,90","23,90","60565,00","81,20","20,00"
692,los gatos town,CA,"81,80","0,90","0,30","10,90","7,20","81,80","0,90","0,30","10,90","7,20","126122,00","97,20","5,60"
693,los molinos cdp,CA,"77,60","0,00","1,90","0,30","26,40","77,60","0,00","1,90","0,30","26,40","40347,00","68,90","29,20"
694,los olivos cdp,CA,"92,70","0,10","0,40","1,10","11,00","92,70","0,10","0,40","1,10","11,00","89605,00","95,40","1,30"
695,los osos cdp,CA,"86,20","0,60","0,70","5,20","13,80","86,20","0,60","0,70","5,20","13,80","62857,00","92,50","9,50"
696,los ranchos cdp,CA,"94,00","0,10","0,10","2,10","3,90","94,00","0,10","0,10","2,10","3,90","92500,00","98,70","6,00"
697,lost hills cdp,CA,"5,50","0,20","0,00","0,70","97,60","5,50","0,20","0,00","0,70","97,60","31033,00","30,70","37,20"
698,lower lake cdp,CA,"79,70","1,50","1,40","1,00","16,90","79,70","1,50","1,40","1,00","16,90","30610,00","81,60","14,80"
699,loyalton city,CA,"91,20","0,30","2,70","0,00","14,00","91,20","0,30","2,70","0,00","14,00","40563,00","91,10","16,30"
700,loyola cdp,CA,"70,30","0,60","0,00","23,30","3,50","70,30","0,60","0,00","23,30","3,50","200208,00","99,40","1,60"
