,city,geographic_area,share_white_x,share_black_x,share_native_american_x,share_asian_x,share_hispanic_x,share_white_y,share_black_y,share_native_american_y,share_asian_y,share_hispanic_y,median_income,percent_completed_hs,poverty_rate
0,acalanes ridge cdp,CA,"83,60","0,40","0,70","11,10","4,40","83,60","0,40","0,70","11,10","4,40","156953,00","100,00","2,50"
1,acampo cdp,CA,"49,60","0,00","0,30","0,90","58,40","49,60","0,00","0,30","0,90","58,40","152713,00","77,10","0,00"
2,acton cdp,CA,"86,40","0,80","0,90","2,00","18,10","86,40","0,80","0,90","2,00","18,10","89150,00","88,20","7,60"
3,adelanto city,CA,"43,80","20,50","1,30","1,90","58,30","43,80","20,50","1,30","1,90","58,30","33298,00","67,50","40,30"
4,agoura hills city,CA,"84,30","1,30","0,30","7,50","9,50","84,30","1,30","0,30","7,50","9,50","113658,00","95,10","5,80"
5,agua dulce cdp,CA,"85,40","1,80","0,70","2,30","18,30","85,40","1,80","0,70","2,30","18,30","99638,00","96,60","6,40"
6,aguanga cdp,CA,"82,40","1,00","1,80","2,10","24,30","82,40","1,00","1,80","2,10","24,30","43505,00","81,10","7,00"
7,ahwahnee cdp,CA,"91,90","0,30","1,30","0,70","8,70","91,90","0,30","1,30","0,70","8,70","62715,00","92,50","11,70"
8,airport cdp,CA,"56,40","2,10","2,40","3,40","63,60","56,40","2,10","2,40","3,40","63,60","32845,00","45,90","37,40"
9,alameda city,CA,"50,80","6,40","0,60","31,20","11,00","50,80","6,40","0,60","31,20","11,00","79312,00","91,30","9,80"
10,alamo cdp,CA,"86,90","0,50","0,10","8,20","5,80","86,90","0,50","0,10","8,20","5,80","165070,00","98,50","1,90"
11,albany city,CA,"54,60","3,50","0,50","31,20","10,20","54,60","3,50","0,50","31,20","10,20","79596,00","96,40","11,40"
12,alderpoint cdp,CA,"91,40","0,00","4,80","0,50","5,40","91,40","0,00","4,80","0,50","5,40","33015,00","70,50","40,80"
13,alhambra city,CA,"28,30","1,50","0,60","52,90","34,40","28,30","1,50","0,60","52,90","34,40","53582,00","80,70","15,80"
14,alhambra valley cdp,CA,"90,70","0,30","0,00","4,50","8,80","90,70","0,30","0,00","4,50","8,80","116250,00","90,50","2,20"
15,aliso viejo city,CA,"72,00","2,00","0,30","14,60","17,10","72,00","2,00","0,30","14,60","17,10","102367,00","96,40","4,90"
16,allendale cdp,CA,"82,30","3,30","1,50","2,80","15,60","82,30","3,30","1,50","2,80","15,60","121875,00","96,60","3,20"
17,allensworth cdp,CA,"33,50","4,70","0,00","1,70","92,60","33,50","4,70","0,00","1,70","92,60","28929,00","37,20","49,50"
18,alondra park cdp,CA,"43,20","9,40","0,40","16,20","50,10","43,20","9,40","0,40","16,20","50,10","56631,00","77,90","23,20"
19,alpaugh cdp,CA,"37,10","0,40","1,10","0,40","84,50","37,10","0,40","1,10","0,40","84,50","27222,00","43,30","48,00"
20,alpine cdp,CA,"87,30","1,20","1,60","2,20","14,60","87,30","1,20","1,60","2,20","14,60","77883,00","90,30","8,80"
21,alpine village cdp,CA,"79,80","0,00","16,70","0,90","5,30","79,80","0,00","16,70","0,90","5,30","66667,00","90,30","3,40"
22,alta cdp,CA,"97,00","0,20","0,50","0,80","3,80","97,00","0,20","0,50","0,80","3,80","54773,00","95,00","13,80"
23,altadena cdp,CA,"52,80","23,70","0,70","5,40","26,90","52,80","23,70","0,70","5,40","26,90","86050,00","89,50","11,00"
24,alta sierra cdp,CA,"93,10","0,30","0,80","1,10","7,10","93,10","0,30","0,80","1,10","7,10","61167,00","96,70","2,50"
25,alto cdp,CA,"87,10","1,10","0,30","4,20","7,20","87,10","1,10","0,30","4,20","7,20","61283,00","96,20","10,90"
26,alturas city,CA,"86,00","0,50","2,90","1,60","12,30","86,00","0,50","2,90","1,60","12,30","29730,00","88,20","21,70"
27,alum rock cdp,CA,"42,40","1,30","1,90","13,10","70,70","42,40","1,30","1,90","13,10","70,70","70346,00","68,20","11,40"
28,amador city city,CA,"92,40","0,00","2,20","1,10","5,90","92,40","0,00","2,20","1,10","5,90","43750,00","95,60","27,00"
29,american canyon city,CA,"38,90","7,90","0,70","32,90","25,70","38,90","7,90","0,70","32,90","25,70","75997,00","85,20","11,80"
30,amesti cdp,CA,"54,30","0,30","1,20","2,60","65,40","54,30","0,30","1,20","2,60","65,40","49015,00","71,70","12,80"
31,anaheim city,CA,"52,70","2,80","0,80","14,80","52,80","52,70","2,80","0,80","14,80","52,80","60752,00","75,80","16,50"
32,anchor bay cdp,CA,"88,50","0,60","1,50","0,60","8,50","88,50","0,60","1,50","0,60","8,50","63967,00","93,60","0,00"
33,anderson city,CA,"83,30","0,70","4,30","2,60","10,80","83,30","0,70","4,30","2,60","10,80","32536,00","85,00","24,60"
34,angels city,CA,"86,80","0,30","1,30","1,30","13,00","86,80","0,30","1,30","1,30","13,00","57829,00","91,20","19,00"
35,angwin cdp,CA,"69,60","4,60","0,70","11,10","20,50","69,60","4,60","0,70","11,10","20,50","61531,00","89,60","11,70"
36,antelope cdp,CA,"63,80","8,80","0,90","13,30","14,50","63,80","8,80","0,90","13,30","14,50","63607,00","91,20","13,00"
37,antioch city,CA,"48,90","17,30","0,90","10,50","31,70","48,90","17,30","0,90","10,50","31,70","64329,00","86,90","15,40"
38,anza cdp,CA,"80,00","1,10","1,90","1,20","26,20","80,00","1,10","1,90","1,20","26,20","34153,00","86,00","13,00"
39,apple valley town,CA,"69,10","9,10","1,10","2,90","29,20","69,10","9,10","1,10","2,90","29,20","47938,00","86,00","20,60"
40,aptos cdp,CA,"87,10","0,90","0,70","4,00","9,80","87,10","0,90","0,70","4,00","9,80","81180,00","97,70","6,40"
41,aptos hills-larkin valley cdp,CA,"81,30","0,50","0,20","2,30","22,70","81,30","0,50","0,20","2,30","22,70","82500,00","95,80","10,90"
42,arbuckle cdp,CA,"57,70","0,60","0,80","0,60","69,90","57,70","0,60","0,80","0,60","69,90","51641,00","59,10","15,20"
43,arcadia city,CA,"32,30","1,20","0,30","59,20","12,10","32,30","1,20","0,30","59,20","12,10","79934,00","92,10","9,60"
44,arcata city,CA,"81,80","2,00","2,30","2,60","11,60","81,80","2,00","2,30","2,60","11,60","29435,00","91,90","41,30"
45,arden-arcade cdp,CA,"70,20","8,70","1,00","5,60","18,60","70,20","8,70","1,00","5,60","18,60","45489,00","90,20","21,40"
46,armona cdp,CA,"49,50","2,40","1,50","2,00","67,00","49,50","2,40","1,50","2,00","67,00","35500,00","65,30","25,40"
47,arnold cdp,CA,"93,40","0,50","0,70","1,20","6,70","93,40","0,50","0,70","1,20","6,70","52034,00","92,20","12,00"
48,aromas cdp,CA,"75,00","0,60","1,40","1,80","34,90","75,00","0,60","1,40","1,80","34,90","76970,00","91,30","11,50"
49,arroyo grande city,CA,"85,30","0,90","0,70","3,40","15,70","85,30","0,90","0,70","3,40","15,70","62032,00","93,90","6,80"
50,artesia city,CA,"39,00","3,60","0,60","37,10","35,80","39,00","3,60","0,60","37,10","35,80","60749,00","76,90","12,40"
51,artois cdp,CA,"83,10","0,00","2,70","1,00","18,30","83,10","0,00","2,70","1,00","18,30","60500,00","78,50","1,80"
52,arvin city,CA,"53,10","1,00","1,20","0,80","92,70","53,10","1,00","1,20","0,80","92,70","35609,00","33,60","29,30"
53,ashland cdp,CA,"30,60","19,50","1,10","18,40","42,80","30,60","19,50","1,10","18,40","42,80","45621,00","76,60","18,40"
54,atascadero city,CA,"86,40","2,10","1,00","2,40","15,60","86,40","2,10","1,00","2,40","15,60","66607,00","92,60","11,00"
55,atwater city,CA,"65,40","4,30","1,30","5,00","52,60","65,40","4,30","1,30","5,00","52,60","41414,00","72,50","26,20"
56,auberry cdp,CA,"86,40","0,40","4,40","1,00","13,00","86,40","0,40","4,40","1,00","13,00","40417,00","85,60","15,10"
57,auburn city,CA,"89,00","0,80","1,00","1,80","10,00","89,00","0,80","1,00","1,80","10,00","53984,00","93,10","12,80"
58,auburn lake trails cdp,CA,"93,10","0,20","0,80","1,10","6,10","93,10","0,20","0,80","1,10","6,10","100875,00","97,70","2,00"
59,august cdp,CA,"46,70","2,70","2,20","4,30","70,30","46,70","2,70","2,20","4,30","70,30","31763,00","54,40","39,60"
60,avalon city,CA,"62,00","0,50","0,60","1,30","55,80","62,00","0,50","0,60","1,30","55,80","59191,00","76,90","14,30"
61,avenal city,CA,"39,00","10,50","1,20","0,70","71,80","39,00","10,50","1,20","0,70","71,80","32432,00","48,80","36,40"
62,avery cdp,CA,"93,50","0,80","1,10","0,50","5,90","93,50","0,80","1,10","0,50","5,90","50647,00","88,90","27,50"
63,avocado heights cdp,CA,"55,60","0,90","0,70","8,80","82,10","55,60","0,90","0,70","8,80","82,10","71148,00","73,00","12,80"
64,azusa city,CA,"57,60","3,20","1,20","8,70","67,60","57,60","3,20","1,20","8,70","67,60","53135,00","77,70","17,60"
65,baker cdp,CA,"41,10","0,10","0,70","1,40","68,30","41,10","0,10","0,70","1,40","68,30","30750,00","63,90","23,00"
66,bakersfield city,CA,"56,80","8,20","1,50","6,20","45,50","56,80","8,20","1,50","6,20","45,50","57095,00","79,60","19,80"
67,baldwin park city,CA,"43,90","1,20","0,90","14,20","80,10","43,90","1,20","0,90","14,20","80,10","51742,00","62,60","16,70"
68,ballard cdp,CA,"92,50","0,60","0,20","0,40","9,90","92,50","0,60","0,20","0,40","9,90","98125,00","85,20","7,00"
69,ballico cdp,CA,"58,40","0,50","0,70","2,70","51,70","58,40","0,50","0,70","2,70","51,70","28571,00","75,00","26,70"
70,bangor cdp,CA,"84,10","0,80","2,60","0,60","7,30","84,10","0,80","2,60","0,60","7,30","41307,00","92,50","8,70"
71,banning city,CA,"64,70","7,30","2,20","5,20","41,10","64,70","7,30","2,20","5,20","41,10","40405,00","80,00","21,20"
72,barstow city,CA,"52,30","14,60","2,10","3,20","42,80","52,30","14,60","2,10","3,20","42,80","39632,00","79,80","33,70"
73,bass lake cdp,CA,"95,40","0,20","1,90","0,20","4,20","95,40","0,20","1,90","0,20","4,20","27045,00","98,40","27,60"
74,bay point cdp,CA,"41,40","11,60","1,10","9,90","54,90","41,40","11,60","1,10","9,90","54,90","44745,00","67,60","25,10"
75,bayview cdp (contra costa county),CA,"49,70","10,60","1,00","21,00","29,70","49,70","10,60","1,00","21,00","29,70","74934,00","73,60","4,20"
76,bayview cdp (humboldt county),CA,"78,00","1,10","4,70","3,50","16,90","78,00","1,10","4,70","3,50","16,90","33583,00","75,20","28,30"
77,beale afb cdp,CA,"71,90","8,90","2,40","3,40","14,50","71,90","8,90","2,40","3,40","14,50","38786,00","93,60","12,50"
78,bear valley springs cdp,CA,"92,30","1,40","0,90","1,10","7,70","92,30","1,40","0,90","1,10","7,70","83159,00","96,60","4,60"
79,beaumont city,CA,"62,80","6,20","1,50","7,70","40,30","62,80","6,20","1,50","7,70","40,30","64830,00","86,80","11,80"
80,bell city,CA,"53,80","0,90","0,90","0,70","93,10","53,80","0,90","0,90","0,70","93,10","37269,00","47,40","27,70"
81,bella vista cdp,CA,"92,00","0,60","1,50","1,10","6,40","92,00","0,60","1,50","1,10","6,40","51690,00","82,30","14,20"
82,bell canyon cdp,CA,"84,10","2,80","0,20","8,70","5,00","84,10","2,80","0,20","8,70","5,00","208571,00","99,20","3,90"
83,bellflower city,CA,"42,20","14,00","1,00","11,60","52,30","42,20","14,00","1,00","11,60","52,30","48823,00","77,60","17,90"
84,bell gardens city,CA,"49,50","0,90","1,10","0,60","95,70","49,50","0,90","1,10","0,60","95,70","37882,00","44,30","28,10"
85,belmont city,CA,"67,60","1,60","0,30","19,90","11,50","67,60","1,60","0,30","19,90","11,50","109631,00","94,90","6,20"
86,belvedere city,CA,"93,80","0,10","0,00","2,80","3,50","93,80","0,10","0,00","2,80","3,50","169659,00","99,50","3,50"
87,benbow cdp,CA,"91,60","0,00","0,60","0,30","7,80","91,60","0,00","0,60","0,30","7,80","46510,00","100,00","0,00"
88,bend cdp,CA,"92,10","0,60","2,40","0,50","7,80","92,10","0,60","2,40","0,50","7,80","51823,00","94,30","7,90"
89,benicia city,CA,"72,50","5,60","0,50","11,10","12,00","72,50","5,60","0,50","11,10","12,00","88394,00","95,70","5,40"
90,ben lomond cdp,CA,"91,30","0,50","0,80","1,10","8,30","91,30","0,50","0,80","1,10","8,30","70266,00","96,60","10,80"
91,berkeley city,CA,"59,50","10,00","0,40","19,30","10,80","59,50","10,00","0,40","19,30","10,80","66237,00","95,70","20,40"
92,bermuda dunes cdp,CA,"74,60","2,50","0,90","3,30","32,60","74,60","2,50","0,90","3,30","32,60","60020,00","89,40","10,00"
93,berry creek cdp,CA,"87,70","0,60","3,40","0,90","6,90","87,70","0,60","3,40","0,90","6,90","38810,00","82,30","14,70"
94,bertsch-oceanview cdp,CA,"74,30","0,10","12,10","3,90","12,70","74,30","0,10","12,10","3,90","12,70","35980,00","77,20","19,90"
95,bethel island cdp,CA,"86,20","1,90","0,70","2,20","13,10","86,20","1,90","0,70","2,20","13,10","35988,00","90,60","6,20"
96,beverly hills city,CA,"82,40","2,20","0,10","8,90","5,70","82,40","2,20","0,10","8,90","5,70","97327,00","95,00","8,90"
97,bieber cdp,CA,"84,60","0,00","4,80","0,30","23,10","84,60","0,00","4,80","0,30","23,10","45227,00","83,20","7,50"
98,big bear city cdp,CA,"83,30","0,70","1,60","0,80","18,90","83,30","0,70","1,60","0,80","18,90","44024,00","89,90","19,70"
99,big bear lake city,CA,"83,80","0,40","1,00","1,60","21,40","83,80","0,40","1,00","1,60","21,40","42031,00","88,60","18,80"
100,big creek cdp,CA,"90,30","0,60","0,60","2,90","15,40","90,30","0,60","0,60","2,90","15,40","83456,00","98,30","1,60"
101,biggs city,CA,"76,30","0,60","3,20","0,50","34,00","76,30","0,60","3,20","0,50","34,00","34911,00","73,00","27,80"
102,big lagoon cdp,CA,"78,50","0,00","11,80","0,00","11,80","78,50","0,00","11,80","0,00","11,80","60417,00","100,00","21,70"
103,big pine cdp,CA,"67,90","0,20","24,90","0,70","10,40","67,90","0,20","24,90","0,70","10,40","49250,00","90,40","10,60"
104,big river cdp,CA,"85,70","1,10","3,80","0,20","12,10","85,70","1,10","3,80","0,20","12,10","28977,00","80,00","19,70"
105,biola cdp,CA,"31,40","0,40","2,60","19,50","73,70","31,40","0,40","2,60","19,50","73,70","29250,00","41,40","36,10"
106,bishop city,CA,"73,90","0,60","2,30","1,60","30,90","73,90","0,60","2,30","1,60","30,90","41069,00","85,80","13,00"
107,blackhawk cdp,CA,"73,60","1,80","0,20","19,30","5,00","73,60","1,80","0,20","19,30","5,00","163100,00","98,20","2,70"
108,blacklake cdp,CA,"93,00","0,90","0,80","2,60","7,50","93,00","0,90","0,80","2,60","7,50","70764,00","100,00","0,00"
109,black point-green point cdp,CA,"90,70","0,50","0,50","3,40","8,60","90,70","0,50","0,50","3,40","8,60","126406,00","96,60","3,80"
110,bloomfield cdp,CA,"81,70","0,00","0,00","1,20","18,00","81,70","0,00","0,00","1,20","18,00","122929,00","100,00","8,30"
111,bloomington cdp,CA,"54,50","2,70","1,30","1,40","81,00","54,50","2,70","1,30","1,40","81,00","46792,00","58,80","22,00"
112,blue lake city,CA,"87,30","0,40","4,40","1,00","6,50","87,30","0,40","4,40","1,00","6,50","56991,00","93,40","18,40"
113,bluewater cdp,CA,"90,70","1,20","0,60","0,00","6,40","90,70","1,20","0,60","0,00","6,40","42875,00","97,20","2,80"
114,blythe city,CA,"59,50","15,00","1,20","1,50","53,20","59,50","15,00","1,20","1,50","53,20","42798,00","69,40","24,40"
115,bodega bay cdp,CA,"88,30","0,20","0,40","3,10","11,70","88,30","0,20","0,40","3,10","11,70","86118,00","89,60","9,00"
116,bodfish cdp,CA,"89,90","0,20","2,60","0,70","9,70","89,90","0,20","2,60","0,70","9,70","20959,00","84,80","28,20"
117,bolinas cdp,CA,"86,80","1,70","0,60","1,00","16,00","86,80","1,70","0,60","1,00","16,00","74524,00","95,60","16,90"
118,bombay beach cdp,CA,"75,60","12,50","2,70","0,30","20,00","75,60","12,50","2,70","0,30","20,00","14821,00","86,10","35,20"
119,bonadelle ranchos-madera ranchos cdp,CA,"82,10","1,30","1,40","2,40","26,90","82,10","1,30","1,40","2,40","26,90","72398,00","90,90","12,40"
120,bonita cdp,CA,"66,90","3,70","0,90","9,60","40,70","66,90","3,70","0,90","9,60","40,70","84526,00","88,20","12,00"
121,bonny doon cdp,CA,"92,40","0,30","0,60","1,90","6,30","92,40","0,30","0,60","1,90","6,30","94444,00","94,90","12,00"
122,bonsall cdp,CA,"80,20","1,70","0,70","3,50","22,40","80,20","1,70","0,70","3,50","22,40","68987,00","92,40","5,70"
123,boonville cdp,CA,"60,90","0,90","1,70","0,70","50,20","60,90","0,90","1,70","0,70","50,20","37865,00","68,90","20,80"
124,bootjack cdp,CA,"84,50","0,20","3,50","1,10","7,90","84,50","0,20","3,50","1,10","7,90","41796,00","94,70","7,70"
125,boron cdp,CA,"77,50","7,20","2,20","2,10","18,00","77,50","7,20","2,20","2,10","18,00","28750,00","80,20","33,40"
126,boronda cdp,CA,"38,70","0,60","1,50","6,80","85,20","38,70","0,60","1,50","6,80","85,20","34009,00","54,10","20,60"
127,borrego springs cdp,CA,"80,70","0,60","1,00","0,60","35,50","80,70","0,60","1,00","0,60","35,50","31563,00","77,90","15,00"
128,bostonia cdp,CA,"70,80","6,60","0,70","2,40","25,60","70,80","6,60","0,70","2,40","25,60","41620,00","81,20","20,10"
129,boulder creek cdp,CA,"90,00","1,10","0,60","1,60","7,40","90,00","1,10","0,60","1,60","7,40","79964,00","93,50","10,90"
130,boyes hot springs cdp,CA,"67,70","0,70","1,40","1,30","49,10","67,70","0,70","1,40","1,30","49,10","56667,00","73,10","13,20"
131,bradbury city,CA,"62,20","2,10","0,40","26,30","20,80","62,20","2,10","0,40","26,30","20,80","109583,00","90,20","8,80"
132,bradley cdp,CA,"91,40","0,00","2,20","0,00","11,80","91,40","0,00","2,20","0,00","11,80","53542,00","86,20","21,60"
133,brawley city,CA,"54,40","2,00","1,00","1,40","81,50","54,40","2,00","1,00","1,40","81,50","37637,00","70,40","25,20"
134,brea city,CA,"67,10","1,40","0,50","18,20","25,00","67,10","1,40","0,50","18,20","25,00","83717,00","92,10","7,10"
135,brentwood city,CA,"67,90","6,60","0,60","7,90","26,80","67,90","6,60","0,60","7,90","26,80","92589,00","90,60","7,30"
136,bret harte cdp,CA,"47,40","1,00","1,00","0,80","82,90","47,40","1,00","1,00","0,80","82,90","28361,00","37,60","45,00"
137,bridgeport cdp,CA,"84,20","0,20","7,50","0,20","25,70","84,20","0,20","7,50","0,20","25,70","63750,00","69,20","0,10"
138,brisbane city,CA,"60,20","1,90","0,50","25,30","16,60","60,20","1,90","0,50","25,30","16,60","88141,00","93,70","4,80"
139,broadmoor cdp,CA,"40,80","2,40","0,70","40,10","23,50","40,80","2,40","0,70","40,10","23,50","98750,00","86,90","4,40"
140,brookdale cdp,CA,"89,90","0,50","0,60","1,00","10,10","89,90","0,50","0,60","1,00","10,10","73787,00","98,70","11,40"
141,brooktrails cdp,CA,"87,10","0,70","2,70","0,80","10,20","87,10","0,70","2,70","0,80","10,20","45254,00","91,50","17,20"
142,buckhorn cdp,CA,"93,00","0,40","1,50","1,00","6,90","93,00","0,40","1,50","1,00","6,90","45469,00","90,00","16,40"
143,buellton city,CA,"81,00","0,80","1,60","2,80","30,10","81,00","0,80","1,60","2,80","30,10","71667,00","89,30","5,60"
144,buena park city,CA,"45,30","3,80","1,10","26,70","39,30","45,30","3,80","1,10","26,70","39,30","70588,00","83,10","13,40"
145,buena vista cdp,CA,"85,10","0,20","5,40","0,00","8,20","85,10","0,20","5,40","0,00","8,20","58472,00","93,70","19,90"
146,burbank city,CA,"72,70","2,50","0,50","11,60","24,50","72,70","2,50","0,50","11,60","24,50","66076,00","88,70","11,00"
147,burbank cdp,CA,"60,80","2,70","1,30","7,70","50,90","60,80","2,70","1,30","7,70","50,90","65472,00","85,00","12,10"
148,burlingame city,CA,"67,70","1,20","0,30","20,30","13,80","67,70","1,20","0,30","20,30","13,80","94500,00","96,60","6,90"
149,burney cdp,CA,"85,10","0,40","7,40","0,20","8,40","85,10","0,40","7,40","0,20","8,40","32105,00","81,20","23,80"
150,burnt ranch cdp,CA,"85,80","0,00","5,30","1,40","6,80","85,80","0,00","5,30","1,40","6,80","56250,00","87,00","11,90"
151,butte creek canyon cdp,CA,"93,10","0,00","1,80","1,70","4,40","93,10","0,00","1,80","1,70","4,40","52206,00","97,10","10,60"
152,buttonwillow cdp,CA,"35,40","2,40","0,70","0,70","78,40","35,40","2,40","0,70","0,70","78,40","33889,00","53,00","37,10"
153,byron cdp,CA,"71,30","4,80","0,90","0,30","39,40","71,30","4,80","0,90","0,30","39,40","74583,00","73,00","3,60"
154,bystrom cdp,CA,"50,00","2,00","1,50","2,30","76,20","50,00","2,00","1,50","2,30","76,20","25402,00","42,00","34,20"
155,cabazon cdp,CA,"69,10","5,30","3,60","1,50","44,80","69,10","5,30","3,60","1,50","44,80","35833,00","74,10","30,70"
156,calabasas city,CA,"83,90","1,60","0,20","8,60","6,40","83,90","1,60","0,20","8,60","6,40","106050,00","97,00","7,90"
157,calexico city,CA,"60,00","0,30","0,50","1,30","96,80","60,00","0,30","0,50","1,30","96,80","34742,00","56,60","27,40"
158,california city city,CA,"65,10","15,20","0,90","2,60","38,10","65,10","15,20","0,90","2,60","38,10","54245,00","79,50","22,80"
159,calimesa city,CA,"86,00","1,10","1,30","1,30","22,40","86,00","1,10","1,30","1,30","22,40","46025,00","88,30","14,80"
160,calipatria city,CA,"41,70","20,90","1,00","1,20","64,10","41,70","20,90","1,00","1,20","64,10","31019,00","57,30","32,60"
161,calistoga city,CA,"72,50","0,50","0,40","0,90","49,40","72,50","0,50","0,40","0,90","49,40","52733,00","71,80","16,30"
162,callender cdp,CA,"79,50","0,60","1,70","3,80","28,10","79,50","0,60","1,70","3,80","28,10","75179,00","93,40","9,30"
163,calpella cdp,CA,"68,50","0,40","3,70","0,40","37,70","68,50","0,40","3,70","0,40","37,70","53194,00","75,90","29,40"
164,calwa cdp,CA,"48,50","1,20","3,30","2,10","90,10","48,50","1,20","3,30","2,10","90,10","26103,00","63,10","45,00"
165,camanche north shore cdp,CA,"87,80","0,30","1,40","1,20","15,30","87,80","0,30","1,40","1,20","15,30","65231,00","84,90","4,60"
166,camanche village cdp,CA,"90,00","0,00","1,10","0,90","14,30","90,00","0,00","1,10","0,90","14,30","79150,00","93,50","0,60"
167,camarillo city,CA,"75,10","1,90","0,60","10,20","22,90","75,10","1,90","0,60","10,20","22,90","88152,00","92,20","6,40"
168,cambria cdp,CA,"85,60","0,30","0,80","1,30","19,70","85,60","0,30","0,80","1,30","19,70","60858,00","90,20","6,90"
169,cambrian park cdp,CA,"79,20","0,80","0,90","6,70","18,00","79,20","0,80","0,90","6,70","18,00","101618,00","91,70","3,10"
170,cameron park cdp,CA,"89,10","0,80","1,10","2,30","11,30","89,10","0,80","1,10","2,30","11,30","75073,00","92,90","9,90"
171,camino cdp,CA,"91,70","0,40","0,80","1,00","11,30","91,70","0,40","0,80","1,00","11,30","71944,00","94,50","11,90"
172,camino tassajara cdp,CA,"39,90","2,40","0,20","50,80","6,30","39,90","2,40","0,20","50,80","6,30","160583,00","97,40","8,00"
173,campbell city,CA,"66,90","2,90","0,70","16,10","18,40","66,90","2,90","0,70","16,10","18,40","96906,00","93,80","6,20"
174,campo cdp,CA,"77,60","4,20","3,40","1,20","29,60","77,60","4,20","3,40","1,20","29,60","57521,00","75,80","26,80"
175,camp pendleton north cdp,CA,"71,70","9,60","1,60","2,90","22,30","71,70","9,60","1,60","2,90","22,30","39714,00","98,90","10,80"
176,camp pendleton south cdp,CA,"70,90","9,30","1,40","2,80","24,40","70,90","9,30","1,40","2,80","24,40","41715,00","100,00","9,00"
177,camptonville cdp,CA,"74,10","0,00","9,50","1,30","3,20","74,10","0,00","9,50","1,30","3,20","32125,00","89,10","15,70"
178,canby cdp,CA,"92,70","0,60","2,20","0,30","7,60","92,70","0,60","2,20","0,30","7,60","45463,00","84,80","19,30"
179,cantua creek cdp,CA,"52,40","1,10","0,60","0,20","98,90","52,40","1,10","0,60","0,20","98,90","31806,00","22,60","32,70"
180,canyon lake city,CA,"89,90","1,20","0,60","1,80","12,30","89,90","1,20","0,60","1,80","12,30","78556,00","95,90","6,50"
181,capitola city,CA,"80,30","1,20","0,60","4,30","19,70","80,30","1,20","0,60","4,30","19,70","57458,00","92,50","10,00"
182,carlsbad city,CA,"82,80","1,30","0,50","7,10","13,30","82,80","1,30","0,50","7,10","13,30","90597,00","95,80","9,10"
183,carmel-by-the-sea city,CA,"93,10","0,30","0,20","3,00","4,70","93,10","0,30","0,20","3,00","4,70","74758,00","97,30","8,10"
184,carmel valley village cdp,CA,"91,80","0,50","0,50","1,60","7,40","91,80","0,50","0,50","1,60","7,40","88516,00","92,10","4,70"
185,carmichael cdp,CA,"80,60","4,80","0,90","4,30","11,70","80,60","4,80","0,90","4,30","11,70","54322,00","93,40","16,60"
186,carnelian bay cdp,CA,"94,10","0,20","0,80","2,70","2,50","94,10","0,20","0,80","2,70","2,50","83750,00","97,20","12,50"
187,carpinteria city,CA,"71,70","0,80","1,10","2,30","48,70","71,70","0,80","1,10","2,30","48,70","71174,00","79,50","9,30"
188,carson city,CA,"23,80","23,80","0,60","25,60","38,60","23,80","23,80","0,60","25,60","38,60","72421,00","79,60","10,90"
189,cartago cdp,CA,"68,50","0,00","7,60","0,00","17,40","68,50","0,00","7,60","0,00","17,40","45735,00","100,00","28,20"
190,caruthers cdp,CA,"49,00","0,60","1,50","8,90","63,70","49,00","0,60","1,50","8,90","63,70","43594,00","51,10","31,30"
191,casa conejo cdp,CA,"78,80","0,80","0,60","4,90","26,20","78,80","0,80","0,60","4,90","26,20","91159,00","91,20","10,00"
192,casa de oro-mount helix cdp,CA,"79,30","5,90","0,50","3,20","17,20","79,30","5,90","0,50","3,20","17,20","80196,00","92,10","12,00"
193,casmalia cdp,CA,"65,90","2,20","0,00","0,70","42,00","65,90","2,20","0,00","0,70","42,00","67679,00","53,30","0,00"
194,caspar cdp,CA,"93,10","0,60","0,00","1,60","2,90","93,10","0,60","0,00","1,60","2,90","56103,00","97,20","9,00"
195,castaic cdp,CA,"71,60","3,30","0,60","11,40","24,80","71,60","3,30","0,60","11,40","24,80","104427,00","91,90","6,80"
196,castle hill cdp,CA,"85,60","2,20","0,10","8,50","6,00","85,60","2,20","0,10","8,50","6,00","114784,00","98,30","1,90"
197,castro valley cdp,CA,"58,00","6,90","0,50","21,40","17,40","58,00","6,90","0,50","21,40","17,40","85596,00","92,20","7,40"
198,castroville cdp,CA,"43,30","1,50","1,50","2,60","90,10","43,30","1,50","1,50","2,60","90,10","49654,00","46,40","25,20"
199,cathedral city city,CA,"63,50","2,60","1,10","5,00","58,80","63,50","2,60","1,10","5,00","58,80","39872,00","75,30","23,10"
200,catheys valley cdp,CA,"88,50","0,70","1,50","1,50","9,70","88,50","0,70","1,50","1,50","9,70","59219,00","89,80","16,90"
201,cayucos cdp,CA,"91,30","0,20","0,50","2,10","8,00","91,30","0,20","0,50","2,10","8,00","58175,00","93,50","9,60"
202,cazadero cdp,CA,"89,80","0,30","2,00","1,40","6,50","89,80","0,30","2,00","1,40","6,50","41667,00","95,50","11,80"
203,cedar ridge cdp,CA,"94,20","0,30","0,50","0,40","6,30","94,20","0,30","0,50","0,40","6,30","60673,00","92,10","12,50"
204,cedarville cdp,CA,"82,10","0,20","2,90","0,00","16,70","82,10","0,20","2,90","0,00","16,70","28500,00","88,80","19,70"
205,ceres city,CA,"57,70","2,60","1,30","6,80","56,00","57,70","2,60","1,30","6,80","56,00","47858,00","67,90","17,90"
