geographic_area,city,share_white_x,share_black_x,share_native_american_x,share_asian_x,share_hispanic_x,share_white_y,share_black_y,share_native_american_y,share_asian_y,share_hispanic_y,median_income,percent_completed_hs,poverty_rate
AL,abanda cdp,67.2,30.2,0.0,0.0,1.6,67.2,30.2,0.0,0.0,1.6,11207.0,21.2,78.8
AL,abbeville city,54.4,41.4,0.1,1.0,3.1,54.4,41.4,0.1,1.0,3.1,25615.0,69.1,29.1
AL,adamsville city,52.3,44.9,0.5,0.3,2.3,52.3,44.9,0.5,0.3,2.3,42575.0,78.9,25.5
AL,addison town,99.1,0.1,0.0,0.1,0.4,99.1,0.1,0.0,0.1,0.4,37083.0,81.4,30.7
AL,akron town,13.2,86.5,0.0,0.0,0.3,13.2,86.5,0.0,0.0,0.3,21667.0,68.6,42.0
AL,alabaster city,79.4,13.5,0.4,0.9,9.0,79.4,13.5,0.4,0.9,9.0,71816.0,89.3,11.2
AL,albertville city,75.9,1.9,0.8,0.5,27.9,75.9,1.9,0.8,0.5,27.9,32911.0,72.7,26.7
AL,alexander city city,62.2,32.0,0.2,0.9,4.8,62.2,32.0,0.2,0.9,4.8,29874.0,78.1,30.4
AL,alexandria cdp,87.4,10.2,0.3,0.5,0.9,87.4,10.2,0.3,0.5,0.9,56058.0,88.8,9.7
AL,aliceville city,22.6,74.9,0.1,0.0,1.2,22.6,74.9,0.1,0.0,1.2,21131.0,74.3,41.3
AL,allgood town,79.6,0.6,0.3,0.6,49.4,79.6,0.6,0.3,0.6,49.4,42009.0,48.1,27.7
AL,altoona town,95.8,1.7,0.2,0.2,1.1,95.8,1.7,0.2,0.2,1.1,27566.0,66.9,27.5
AL,andalusia city,70.5,25.9,0.4,1.0,1.9,70.5,25.9,0.4,1.0,1.9,31968.0,81.1,24.5
AL,anderson town,97.9,0.0,0.4,0.0,0.7,97.9,0.0,0.4,0.0,0.7,34792.0,85.7,13.8
AL,anniston city,44.7,51.5,0.3,0.8,2.7,44.7,51.5,0.3,0.8,2.7,29681.0,79.8,31.7
AL,arab city,96.6,0.1,0.6,0.7,1.7,96.6,0.1,0.6,0.7,1.7,40292.0,87.6,16.7
AL,ardmore town,94.3,1.9,0.8,0.9,1.3,94.3,1.9,0.8,0.9,1.3,35670.0,77.7,19.1
AL,argo town,94.1,3.6,0.4,0.3,0.5,94.1,3.6,0.4,0.3,0.5,57212.0,87.5,8.6
AL,ariton town,78.3,19.2,0.0,0.1,6.0,78.3,19.2,0.0,0.1,6.0,24286.0,71.3,37.6
AL,arley town,94.4,0.0,0.6,0.3,1.4,94.4,0.0,0.6,0.3,1.4,28750.0,80.6,31.6
AL,ashford town,79.0,19.5,0.2,0.2,0.8,79.0,19.5,0.2,0.2,0.8,42704.0,83.5,18.8
AL,ashland town,71.5,24.1,0.3,0.7,5.7,71.5,24.1,0.3,0.7,5.7,31438.0,77.9,22.4
AL,ashville city,75.8,20.3,0.2,0.3,3.8,75.8,20.3,0.2,0.3,3.8,40547.0,77.6,28.3
AL,athens city,73.0,17.5,0.6,0.9,8.8,73.0,17.5,0.6,0.9,8.8,47542.0,83.4,13.0
AL,atmore city,40.0,55.6,1.8,0.3,1.8,40.0,55.6,1.8,0.3,1.8,26775.0,73.7,24.7
AL,attalla city,81.5,12.7,0.4,0.5,4.7,81.5,12.7,0.4,0.5,4.7,37191.0,76.0,20.3
AL,auburn city,75.1,16.5,0.3,5.3,2.9,75.1,16.5,0.3,5.3,2.9,38342.0,94.3,31.8
AL,autaugaville town,31.3,66.8,0.2,0.0,0.8,31.3,66.8,0.2,0.0,0.8,24833.0,71.2,24.1
AL,avon town,94.7,1.8,1.8,0.0,1.3,94.7,1.8,1.8,0.0,1.3,40417.0,82.8,22.2
AL,axis cdp,66.8,26.9,3.2,0.1,0.9,66.8,26.9,3.2,0.1,0.9,55750.0,79.9,6.8
AL,babbie town,96.7,0.0,0.0,1.5,0.2,96.7,0.0,0.0,1.5,0.2,41912.0,81.2,15.7
AL,baileyton town,96.2,0.2,0.5,0.0,1.5,96.2,0.2,0.5,0.0,1.5,31875.0,74.7,28.6
AL,bakerhill town,61.6,35.5,0.7,0.0,1.1,61.6,35.5,0.7,0.0,1.1,31875.0,72.4,19.1
AL,ballplay cdp,97.5,0.1,0.7,0.3,1.0,97.5,0.1,0.7,0.3,1.0,37778.0,80.3,7.1
AL,banks town,69.3,24.6,2.2,0.0,1.1,69.3,24.6,2.2,0.0,1.1,28750.0,73.0,38.2
AL,bay minette city,60.4,35.3,1.0,0.8,1.8,60.4,35.3,1.0,0.8,1.8,31576.0,79.1,26.3
AL,bayou la batre city,60.3,12.3,0.4,22.8,2.8,60.3,12.3,0.4,22.8,2.8,34583.0,58.5,30.1
AL,bear creek town,97.1,0.1,0.7,0.2,1.8,97.1,0.1,0.7,0.2,1.8,35563.0,76.7,25.3
AL,beatrice town,23.6,76.1,0.3,0.0,0.0,23.6,76.1,0.3,0.0,0.0,18417.0,89.1,44.9
AL,beaverton town,95.0,5.0,0.0,0.0,1.0,95.0,5.0,0.0,0.0,1.0,31875.0,87.9,8.1
AL,belgreen cdp,96.1,0.0,0.0,0.0,3.9,96.1,0.0,0.0,0.0,3.9,27750.0,87.0,28.8
AL,belk town,95.8,2.8,0.0,0.5,0.9,95.8,2.8,0.0,0.5,0.9,28906.0,63.8,39.1
AL,bellamy cdp,8.3,90.8,0.0,0.9,1.3,8.3,90.8,0.0,0.9,1.3,22132.0,86.5,42.9
AL,belle fontaine cdp,92.3,1.6,0.5,2.3,3.6,92.3,1.6,0.5,2.3,3.6,34615.0,91.9,36.7
AL,berry town,90.8,7.4,0.0,0.0,0.8,90.8,7.4,0.0,0.0,0.8,25865.0,65.4,30.9
AL,bessemer city,24.3,71.2,0.3,0.2,4.1,24.3,71.2,0.3,0.2,4.1,29615.0,81.5,32.9
AL,billingsley town,86.1,11.1,2.1,0.0,0.7,86.1,11.1,2.1,0.0,0.7,41250.0,71.3,20.5
AL,birmingham city,22.3,73.4,0.2,1.0,3.6,22.3,73.4,0.2,1.0,3.6,31061.0,85.1,30.9
AL,black town,92.3,6.3,0.0,0.0,0.0,92.3,6.3,0.0,0.0,0.0,41071.0,90.0,12.7
AL,blountsville town,87.3,0.7,1.0,0.4,15.3,87.3,0.7,1.0,0.4,15.3,30152.0,73.1,41.2
AL,blue ridge cdp,94.5,2.7,0.7,0.9,1.0,94.5,2.7,0.7,0.9,1.0,96333.0,97.6,0.5
AL,blue springs town,92.7,6.3,0.0,1.0,3.1,92.7,6.3,0.0,1.0,3.1,45313.0,95.6,4.0
AL,boaz city,87.3,1.8,0.4,0.7,14.2,87.3,1.8,0.4,0.7,14.2,35974.0,76.6,19.4
AL,boligee town,8.8,90.2,0.0,0.0,0.3,8.8,90.2,0.0,0.0,0.3,12173.0,79.9,60.3
AL,bon air town,80.2,6.9,2.6,0.0,2.6,80.2,6.9,2.6,0.0,2.6,23750.0,85.7,47.6
AL,brantley town,56.1,38.8,0.6,0.5,2.0,56.1,38.8,0.6,0.5,2.0,27870.0,75.1,20.7
AL,brantleyville cdp,82.1,3.3,0.9,0.5,12.6,82.1,3.3,0.9,0.5,12.6,40370.0,85.1,19.2
AL,brent city,45.1,53.5,0.1,0.0,2.1,45.1,53.5,0.1,0.0,2.1,33924.0,73.8,17.3
AL,brewton city,54.1,42.6,0.7,0.4,2.2,54.1,42.6,0.7,0.4,2.2,31033.0,84.5,27.8
AL,bridgeport city,84.0,8.6,1.9,0.2,1.7,84.0,8.6,1.9,0.2,1.7,28571.0,74.9,34.7
AL,brighton city,6.5,81.0,1.0,0.0,13.8,6.5,81.0,1.0,0.0,13.8,22146.0,78.6,33.0
AL,brilliant town,98.3,0.2,0.1,0.1,1.6,98.3,0.2,0.1,0.1,1.6,25893.0,75.9,22.5
AL,brook highland cdp,73.6,16.2,0.2,4.4,7.8,73.6,16.2,0.2,4.4,7.8,60212.0,96.2,11.5
AL,brookside town,79.5,18.5,0.3,0.1,0.7,79.5,18.5,0.3,0.1,0.7,34554.0,78.7,19.2
AL,brookwood town,92.2,5.3,0.7,0.1,2.0,92.2,5.3,0.7,0.1,2.0,51515.0,83.1,10.8
AL,broomtown cdp,98.4,1.6,0.0,0.0,0.0,98.4,1.6,0.0,0.0,0.0,28750.0,66.2,23.8
AL,brundidge city,34.1,62.9,0.5,0.6,3.0,34.1,62.9,0.5,0.6,3.0,23819.0,77.2,32.4
AL,butler town,71.4,26.7,0.2,0.2,0.7,71.4,26.7,0.2,0.2,0.7,28950.0,80.2,25.3
AL,calera city,71.2,23.0,0.2,0.6,5.0,71.2,23.0,0.2,0.6,5.0,62893.0,89.1,5.8
AL,camden city,42.0,57.4,0.1,0.0,0.7,42.0,57.4,0.1,0.0,0.7,28375.0,82.8,31.9
AL,camp hill town,10.2,88.4,0.1,0.1,0.7,10.2,88.4,0.1,0.1,0.7,25118.0,76.6,36.6
AL,carbon hill city,89.4,8.2,0.2,0.1,1.2,89.4,8.2,0.2,0.1,1.2,25990.0,65.4,32.2
AL,carlisle-rockledge cdp,95.0,0.9,0.9,0.1,3.1,95.0,0.9,0.9,0.1,3.1,35938.0,73.1,17.2
AL,carolina town,96.6,0.3,0.3,0.0,0.0,96.6,0.3,0.3,0.0,0.0,50278.0,87.8,7.4
AL,carrollton town,49.0,43.1,0.1,0.0,10.4,49.0,43.1,0.1,0.0,10.4,27857.0,71.0,29.1
AL,castleberry town,59.2,38.4,0.3,0.0,0.5,59.2,38.4,0.3,0.0,0.5,20677.0,75.9,39.6
AL,cedar bluff town,86.2,9.9,0.7,0.3,1.2,86.2,9.9,0.7,0.3,1.2,36389.0,77.9,25.8
AL,center point city,32.6,62.9,0.2,0.4,4.8,32.6,62.9,0.2,0.4,4.8,39944.0,87.1,25.0
AL,centre city,87.0,9.9,0.4,0.3,1.2,87.0,9.9,0.4,0.3,1.2,31268.0,76.7,25.1
AL,centreville city,72.2,23.7,0.3,0.4,3.0,72.2,23.7,0.3,0.4,3.0,41103.0,81.6,22.4
AL,chatom town,68.2,31.1,0.0,0.0,0.6,68.2,31.1,0.0,0.0,0.6,35365.0,76.0,19.8
AL,chelsea city,89.5,5.7,0.3,2.0,3.2,89.5,5.7,0.3,2.0,3.2,85757.0,93.5,4.9
AL,cherokee town,77.6,18.3,0.5,0.3,1.7,77.6,18.3,0.5,0.3,1.7,28359.0,80.9,19.9
AL,chickasaw city,63.0,33.6,0.8,0.5,2.3,63.0,33.6,0.8,0.5,2.3,30973.0,79.9,33.6
AL,childersburg city,60.1,36.9,0.4,0.5,1.3,60.1,36.9,0.4,0.5,1.3,25948.0,78.8,38.6
AL,choccolocco cdp,87.5,7.2,0.3,0.7,4.3,87.5,7.2,0.3,0.7,4.3,54825.0,89.4,14.7
AL,citronelle city,70.7,20.2,4.9,0.5,2.6,70.7,20.2,4.9,0.5,2.6,48125.0,82.5,16.9
AL,clanton city,74.9,19.1,0.3,0.6,6.0,74.9,19.1,0.3,0.6,6.0,39823.0,76.8,16.9
AL,clay city,84.1,13.3,0.3,0.6,1.3,84.1,13.3,0.3,0.6,1.3,68717.0,92.2,6.6
AL,clayhatchee town,94.9,1.7,0.3,0.3,2.4,94.9,1.7,0.3,0.3,2.4,32656.0,85.3,16.4
AL,clayton town,35.8,63.8,0.0,0.0,0.6,35.8,63.8,0.0,0.0,0.6,25203.0,57.8,29.3
AL,cleveland town,89.2,0.3,0.2,0.3,18.4,89.2,0.3,0.2,0.3,18.4,40909.0,74.4,15.0
AL,clio city,32.0,36.5,0.4,0.5,36.0,32.0,36.5,0.4,0.5,36.0,19539.0,63.1,31.4
AL,coaling town,86.4,11.4,0.1,0.1,0.8,86.4,11.4,0.1,0.1,0.8,54167.0,88.2,19.5
AL,coats bend cdp,84.4,12.6,0.5,0.0,0.9,84.4,12.6,0.5,0.0,0.9,42821.0,90.9,15.0
AL,coffee springs town,96.1,0.0,0.0,0.0,2.6,96.1,0.0,0.0,0.0,2.6,33636.0,78.0,21.2
AL,coffeeville town,51.4,46.0,0.0,0.0,0.6,51.4,46.0,0.0,0.0,0.6,19583.0,71.7,41.3
AL,coker town,95.2,2.0,0.2,0.9,1.8,95.2,2.0,0.2,0.9,1.8,45795.0,89.2,10.0
AL,collinsville town,47.8,9.0,1.1,0.1,43.1,47.8,9.0,1.1,0.1,43.1,25795.0,52.0,32.1
AL,colony town,10.4,86.9,0.0,0.4,0.4,10.4,86.9,0.0,0.4,0.4,33063.0,77.0,24.8
AL,columbia town,77.0,21.1,0.4,0.0,0.4,77.0,21.1,0.4,0.0,0.4,31806.0,79.0,20.1
AL,columbiana city,71.3,25.1,0.3,0.2,3.0,71.3,25.1,0.3,0.2,3.0,32700.0,74.4,24.0
AL,concord cdp,98.5,0.5,0.2,0.2,0.5,98.5,0.5,0.2,0.2,0.5,44620.0,91.3,7.9
AL,coosada town,57.7,40.0,0.4,0.2,2.9,57.7,40.0,0.4,0.2,2.9,47406.0,84.3,23.5
AL,cordova city,83.4,14.5,0.8,0.1,0.7,83.4,14.5,0.8,0.1,0.7,19139.0,79.8,32.8
AL,cottonwood town,71.8,25.4,0.6,0.0,1.1,71.8,25.4,0.6,0.0,1.1,25313.0,76.3,29.8
AL,county line town,94.2,1.2,3.1,1.2,0.4,94.2,1.2,3.1,1.2,0.4,55313.0,83.9,10.7
AL,courtland town,57.6,38.4,1.3,0.3,0.3,57.6,38.4,1.3,0.3,0.3,33125.0,79.6,25.8
AL,cowarts town,80.8,14.6,0.7,0.1,1.7,80.8,14.6,0.7,0.1,1.7,43533.0,86.0,11.7
AL,creola city,84.7,9.8,1.8,0.1,3.1,84.7,9.8,1.8,0.1,3.1,51705.0,84.4,18.1
AL,crossville town,88.7,0.4,1.9,0.2,8.3,88.7,0.4,1.9,0.2,8.3,30833.0,70.4,38.1
AL,cuba town,85.3,13.0,0.6,0.0,0.3,85.3,13.0,0.6,0.0,0.3,40673.0,92.1,21.0
AL,cullman city,93.4,0.9,0.3,0.9,8.2,93.4,0.9,0.3,0.9,8.2,38746.0,85.3,21.9
AL,cusseta town,95.9,2.4,0.0,1.6,0.0,95.9,2.4,0.0,1.6,0.0,52500.0,83.7,9.3
AL,dadeville city,50.2,47.5,0.3,0.6,0.9,50.2,47.5,0.3,0.6,0.9,29368.0,73.7,28.8
AL,daleville city,66.2,22.6,1.1,2.7,10.1,66.2,22.6,1.1,2.7,10.1,45651.0,85.3,24.5
AL,daphne city,84.1,11.8,0.4,1.5,2.9,84.1,11.8,0.4,1.5,2.9,60737.0,95.8,11.2
AL,dauphin island town,97.3,0.4,1.0,0.2,0.7,97.3,0.4,1.0,0.2,0.7,63594.0,95.8,3.6
AL,daviston town,88.8,10.3,0.0,0.9,1.9,88.8,10.3,0.0,0.9,1.9,47639.0,87.8,12.9
AL,deatsville town,77.6,19.4,0.1,0.3,1.6,77.6,19.4,0.1,0.3,1.6,78125.0,96.3,5.1
AL,decatur city,66.5,21.7,0.7,0.9,12.4,66.5,21.7,0.7,0.9,12.4,41496.0,82.7,21.2
AL,demopolis city,47.3,50.1,0.1,0.5,2.4,47.3,50.1,0.1,0.5,2.4,27656.0,89.1,31.0
AL,detroit town,83.1,13.9,0.0,0.0,0.4,83.1,13.9,0.0,0.0,0.4,24107.0,64.8,27.9
AL,dodge city town,96.0,0.7,0.8,0.0,2.5,96.0,0.7,0.8,0.0,2.5,41346.0,81.7,16.7
AL,dora city,85.6,12.2,0.3,0.0,0.7,85.6,12.2,0.3,0.0,0.7,40769.0,82.3,17.2
AL,dothan city,63.1,32.5,0.4,1.1,2.9,63.1,32.5,0.4,1.1,2.9,42426.0,86.2,19.1
AL,double springs town,97.3,0.6,0.8,0.2,0.4,97.3,0.6,0.8,0.2,0.4,29063.0,74.5,27.5
AL,douglas town,93.3,0.8,0.4,0.0,3.9,93.3,0.8,0.4,0.0,3.9,29318.0,78.5,34.9
AL,dozier town,59.6,35.3,0.3,0.3,0.0,59.6,35.3,0.3,0.3,0.0,21765.0,79.1,30.3
AL,dunnavant cdp,96.7,0.4,0.7,0.0,2.3,96.7,0.4,0.7,0.0,2.3,42857.0,76.0,7.7
AL,dutton town,90.8,2.5,0.0,0.0,3.2,90.8,2.5,0.0,0.0,3.2,39688.0,90.6,24.2
AL,east brewton city,74.7,20.8,0.6,0.0,3.1,74.7,20.8,0.6,0.0,3.1,26736.0,83.6,30.6
AL,east point cdp,96.5,0.0,0.0,1.0,3.5,96.5,0.0,0.0,1.0,3.5,62059.0,91.4,0.0
AL,eclectic town,86.4,11.0,0.4,0.0,1.3,86.4,11.0,0.4,0.0,1.3,41304.0,84.2,13.4
AL,edgewater cdp,31.0,68.4,0.1,0.0,1.0,31.0,68.4,0.1,0.0,1.0,26818.0,84.1,26.5
AL,edwardsville town,98.0,0.5,0.0,0.0,0.0,98.0,0.5,0.0,0.0,0.0,38438.0,87.0,5.1
AL,egypt cdp,94.3,0.9,0.5,0.5,3.3,94.3,0.9,0.5,0.5,3.3,56693.0,84.9,4.5
AL,elba city,62.1,34.3,1.2,0.3,1.1,62.1,34.3,1.2,0.3,1.1,26156.0,76.9,31.1
AL,elberta town,92.9,1.4,0.3,0.8,5.3,92.9,1.4,0.3,0.8,5.3,31190.0,85.8,15.8
AL,eldridge town,97.7,0.8,0.0,0.0,0.0,97.7,0.8,0.0,0.0,0.0,30000.0,75.0,37.8
AL,elkmont town,85.9,12.7,1.2,0.0,0.0,85.9,12.7,1.2,0.0,0.0,39583.0,78.2,11.2
AL,elmore town,64.3,26.7,0.1,0.2,8.8,64.3,26.7,0.1,0.2,8.8,40150.0,70.5,30.0
AL,emelle town,5.7,94.3,0.0,0.0,0.0,5.7,94.3,0.0,0.0,0.0,36250.0,79.3,0.0
AL,emerald mountain cdp,87.1,11.0,0.2,0.6,1.6,87.1,11.0,0.2,0.6,1.6,91054.0,90.9,8.2
AL,enterprise city,69.4,20.7,0.5,2.0,8.8,69.4,20.7,0.5,2.0,8.8,54450.0,89.2,16.3
AL,epes town,8.9,91.1,0.0,0.0,0.0,8.9,91.1,0.0,0.0,0.0,25000.0,81.6,24.8
AL,ethelsville town,74.1,25.9,0.0,0.0,0.0,74.1,25.9,0.0,0.0,0.0,40417.0,80.6,32.3
AL,eufaula city,51.0,44.6,0.5,0.6,4.3,51.0,44.6,0.5,0.6,4.3,32845.0,81.5,25.3
AL,eunola cdp,91.4,7.4,0.0,0.4,1.6,91.4,7.4,0.0,0.4,1.6,42023.0,96.1,0.0
AL,eutaw town,18.1,80.2,0.1,0.4,1.3,18.1,80.2,0.1,0.4,1.3,22377.0,73.2,32.7
AL,eva town,96.3,0.0,0.4,0.2,0.4,96.3,0.0,0.4,0.2,0.4,39868.0,91.2,11.1
AL,evergreen city,34.8,62.4,0.2,0.2,2.3,34.8,62.4,0.2,0.2,2.3,18661.0,79.2,52.6
AL,excel town,91.1,5.0,1.4,0.0,0.7,91.1,5.0,1.4,0.0,0.7,34375.0,86.0,18.6
AL,fairfield city,4.2,94.6,0.0,0.0,1.1,4.2,94.6,0.0,0.0,1.1,34890.0,88.9,23.4
AL,fairford cdp,61.3,17.7,19.9,0.0,0.0,61.3,17.7,19.9,0.0,0.0,32269.0,57.6,0.0
AL,fairhope city,91.1,6.2,0.2,0.7,2.8,91.1,6.2,0.2,0.7,2.8,61489.0,95.4,11.2
AL,fairview town,95.5,0.2,0.0,0.4,11.2,95.5,0.2,0.0,0.4,11.2,37750.0,82.0,24.0
AL,falkville town,92.1,3.4,1.1,0.1,2.2,92.1,3.4,1.1,0.1,2.2,33846.0,65.1,26.0
AL,faunsdale town,67.3,32.7,0.0,0.0,0.0,67.3,32.7,0.0,0.0,0.0,20625.0,85.7,30.2
AL,fayette city,73.4,24.3,0.3,0.3,1.4,73.4,24.3,0.3,0.3,1.4,30646.0,79.1,25.9
AL,fayetteville cdp,97.2,1.3,0.3,0.0,0.3,97.2,1.3,0.3,0.0,0.3,34632.0,68.5,15.3
AL,five points town,46.8,52.5,0.0,0.0,0.0,46.8,52.5,0.0,0.0,0.0,45000.0,61.9,20.4
AL,flomaton town,69.5,27.2,1.6,0.1,2.3,69.5,27.2,1.6,0.1,2.3,24406.0,77.3,30.2
AL,florala town,80.1,15.8,0.8,0.4,2.8,80.1,15.8,0.8,0.4,2.8,25673.0,79.6,30.1
AL,florence city,75.0,19.4,0.4,1.4,3.6,75.0,19.4,0.4,1.4,3.6,35731.0,84.4,24.6
AL,foley city,77.1,14.9,0.6,1.1,9.5,77.1,14.9,0.6,1.1,9.5,40938.0,91.5,18.9
AL,forestdale cdp,26.2,71.4,0.2,0.2,1.4,26.2,71.4,0.2,0.2,1.4,48654.0,93.5,17.0
AL,forkland town,11.9,87.4,0.2,0.0,0.8,11.9,87.4,0.2,0.0,0.8,19063.0,74.1,48.1
AL,fort deposit town,23.7,75.5,0.1,0.1,0.4,23.7,75.5,0.1,0.1,0.4,23963.0,70.5,30.2
AL,fort payne city,77.6,4.2,0.9,0.8,20.9,77.6,4.2,0.9,0.8,20.9,38833.0,67.7,19.0
AL,fort rucker cdp,77.7,11.9,0.8,1.3,13.2,77.7,11.9,0.8,1.3,13.2,59265.0,98.8,8.0
AL,franklin town,47.7,49.7,0.0,1.3,0.0,47.7,49.7,0.0,1.3,0.0,60417.0,85.0,6.6
AL,fredonia cdp,87.9,11.6,0.0,0.0,0.0,87.9,11.6,0.0,0.0,0.0,66591.0,88.6,18.4
AL,frisco city town,45.4,49.3,1.3,0.0,1.8,45.4,49.3,1.3,0.0,1.8,17311.0,77.3,31.3
AL,fruitdale cdp,70.3,28.6,0.0,0.0,1.6,70.3,28.6,0.0,0.0,1.6,63125.0,93.3,33.0
AL,fruithurst town,98.2,0.0,1.1,0.4,0.0,98.2,0.0,1.1,0.4,0.0,35625.0,75.8,13.5
AL,fulton town,84.9,11.0,0.0,0.7,3.3,84.9,11.0,0.0,0.7,3.3,32083.0,76.0,19.9
AL,fultondale city,75.1,16.6,0.4,1.0,10.8,75.1,16.6,0.4,1.0,10.8,51587.0,85.1,14.0
AL,fyffe town,94.0,0.3,1.5,0.7,1.3,94.0,0.3,1.5,0.7,1.3,42356.0,83.7,12.8
AL,gadsden city,57.3,36.3,0.4,0.6,5.4,57.3,36.3,0.4,0.6,5.4,29136.0,78.3,29.4
AL,gainesville town,16.3,82.2,0.0,0.0,0.0,16.3,82.2,0.0,0.0,0.0,14444.0,76.7,40.9
AL,gallant cdp,96.7,0.2,0.6,0.0,1.6,96.7,0.2,0.6,0.0,1.6,45859.0,83.7,3.9
AL,gantt town,77.0,23.0,0.0,0.0,0.0,77.0,23.0,0.0,0.0,0.0,47000.0,85.6,8.3
AL,garden city town,98.2,0.2,0.4,0.0,0.4,98.2,0.2,0.4,0.0,0.4,31591.0,79.8,19.3
AL,gardendale city,88.4,8.6,0.3,1.2,1.5,88.4,8.6,0.3,1.2,1.5,56132.0,92.2,7.8
AL,gaylesville town,96.5,0.0,0.0,0.0,3.5,96.5,0.0,0.0,0.0,3.5,26818.0,78.4,19.3
AL,geiger town,26.5,73.5,0.0,0.0,2.9,26.5,73.5,0.0,0.0,2.9,45125.0,71.3,19.5
AL,geneva city,83.2,14.0,0.4,0.4,1.8,83.2,14.0,0.4,0.4,1.8,29912.0,78.1,30.3
AL,georgiana town,33.1,65.4,0.3,0.1,0.3,33.1,65.4,0.3,0.1,0.3,19969.0,71.1,35.5
AL,geraldine town,93.5,0.3,3.7,0.0,2.0,93.5,0.3,3.7,0.0,2.0,42292.0,84.2,13.8
AL,gilbertown town,77.2,21.9,0.0,0.5,0.0,77.2,21.9,0.0,0.5,0.0,33750.0,83.8,21.5
AL,glen allen town,89.4,9.4,0.2,0.2,0.2,89.4,9.4,0.2,0.2,0.2,24531.0,76.5,21.4
AL,glencoe city,96.5,1.3,0.3,0.5,0.8,96.5,1.3,0.3,0.5,0.8,46691.0,86.6,11.1
AL,glenwood town,70.1,29.9,0.0,0.0,0.0,70.1,29.9,0.0,0.0,0.0,36000.0,84.8,13.6
AL,goldville town,100.0,0.0,0.0,0.0,5.5,100.0,0.0,0.0,0.0,5.5,46250.0,86.7,9.3
AL,good hope town,92.7,0.3,0.4,0.5,7.7,92.7,0.3,0.4,0.5,7.7,47754.0,86.5,15.2
AL,goodwater town,24.3,73.7,0.7,0.0,0.7,24.3,73.7,0.7,0.0,0.7,23809.0,71.6,32.2
AL,gordo town,58.9,37.8,0.2,0.2,1.5,58.9,37.8,0.2,0.2,1.5,30781.0,80.4,26.3
AL,gordon town,21.4,76.5,0.3,0.0,1.5,21.4,76.5,0.3,0.0,1.5,22250.0,66.8,26.9
AL,gordonville town,5.2,94.8,0.0,0.0,0.0,5.2,94.8,0.0,0.0,0.0,18224.0,76.1,39.2
AL,goshen town,76.7,22.6,0.4,0.0,0.0,76.7,22.6,0.4,0.0,0.0,40132.0,71.2,31.9
AL,graham cdp,83.9,16.1,0.0,0.0,0.0,83.9,16.1,0.0,0.0,0.0,41914.0,74.0,4.5
AL,grand bay cdp,86.9,9.4,0.6,0.7,2.3,86.9,9.4,0.6,0.7,2.3,48767.0,84.6,6.4
AL,grant town,98.1,0.0,0.0,0.4,1.3,98.1,0.0,0.0,0.4,1.3,55000.0,89.2,7.2
AL,grayson valley cdp,70.6,25.8,0.3,0.9,2.2,70.6,25.8,0.3,0.9,2.2,46250.0,90.4,8.9
AL,graysville city,73.9,23.6,0.4,0.2,1.7,73.9,23.6,0.4,0.2,1.7,41282.0,79.8,17.4
AL,greensboro city,32.0,66.5,0.2,0.8,0.5,32.0,66.5,0.2,0.8,0.5,21797.0,75.0,39.3
AL,greenville city,41.7,55.5,0.0,1.8,1.3,41.7,55.5,0.0,1.8,1.3,29741.0,78.4,25.8
AL,grimes town,55.9,36.7,0.0,0.0,2.9,55.9,36.7,0.0,0.0,2.9,31579.0,84.5,19.1
AL,grove hill town,56.6,41.3,0.3,0.3,2.0,56.6,41.3,0.3,0.3,2.0,31786.0,85.8,26.1
AL,guin city,86.9,10.9,0.0,0.1,1.3,86.9,10.9,0.0,0.1,1.3,23000.0,75.4,37.5
AL,gulfcrest cdp,88.2,3.1,5.6,0.0,1.2,88.2,3.1,5.6,0.0,1.2,68462.0,87.2,0.0
AL,gulf shores city,93.4,1.5,0.5,0.9,4.0,93.4,1.5,0.5,0.9,4.0,47662.0,92.9,16.6
AL,guntersville city,85.8,7.8,0.5,1.5,3.8,85.8,7.8,0.5,1.5,3.8,39756.0,83.1,16.2
AL,gurley town,76.3,17.1,1.7,1.2,3.5,76.3,17.1,1.7,1.2,3.5,32500.0,74.5,30.8
AL,gu-win town,85.8,5.1,4.0,0.0,4.0,85.8,5.1,4.0,0.0,4.0,39000.0,87.2,12.0
AL,hackleburg town,97.7,0.1,0.2,0.0,1.3,97.7,0.1,0.2,0.0,1.3,28819.0,76.5,25.7
AL,hackneyville cdp,97.7,0.9,0.3,1.2,0.3,97.7,0.9,0.3,1.2,0.3,60474.0,95.1,17.8
AL,haleburg town,94.2,4.9,0.0,0.0,0.0,94.2,4.9,0.0,0.0,0.0,54167.0,80.0,8.3
AL,haleyville city,92.1,0.7,1.0,0.5,6.0,92.1,0.7,1.0,0.5,6.0,24291.0,70.7,26.8
AL,hamilton city,89.3,7.7,0.4,0.2,3.1,89.3,7.7,0.4,0.2,3.1,33053.0,82.7,18.5
AL,hammondville town,90.0,0.8,0.2,0.6,6.8,90.0,0.8,0.2,0.6,6.8,43281.0,74.5,8.0
AL,hanceville city,92.4,3.6,0.2,0.7,2.4,92.4,3.6,0.2,0.7,2.4,29231.0,77.7,25.8
AL,harpersville town,73.1,23.5,0.3,0.7,2.6,73.1,23.5,0.3,0.7,2.6,35972.0,80.7,18.8
