geographic_area,city,share_white_x,share_black_x,share_native_american_x,share_asian_x,share_hispanic_x,share_white_y,share_black_y,share_native_american_y,share_asian_y,share_hispanic_y,median_income,percent_completed_hs,poverty_rate
PA,jacksonville cdp (indiana county),98.0,0.6,0.2,0.3,0.2,98.0,0.6,0.2,0.3,0.2,41131.0,88.5,12.8
PA,jacksonwald cdp,94.0,2.8,0.1,1.0,2.4,94.0,2.8,0.1,1.0,2.4,96058.0,93.9,0.0
PA,jacobus borough,91.3,5.1,0.1,1.4,3.5,91.3,5.1,0.1,1.4,3.5,80481.0,93.3,5.2
PA,james city cdp,99.7,0.0,0.0,0.0,0.0,99.7,0.0,0.0,0.0,0.0,37000.0,87.7,11.2
PA,jamestown borough,99.2,0.0,0.0,0.3,0.2,99.2,0.0,0.0,0.3,0.2,33917.0,86.8,16.5
PA,jamison city cdp,99.3,0.0,0.7,0.0,0.0,99.3,0.0,0.7,0.0,0.0,35313.0,89.6,18.1
PA,jeannette city,88.5,6.9,0.2,0.2,0.9,88.5,6.9,0.2,0.2,0.9,40180.0,90.8,15.0
PA,jeddo borough,100.0,0.0,0.0,0.0,3.1,100.0,0.0,0.0,0.0,3.1,67727.0,95.1,10.1
PA,jefferson borough (greene county),99.3,0.0,0.0,0.0,0.4,99.3,0.0,0.0,0.0,0.4,42813.0,88.4,10.5
PA,jefferson borough (york county),98.2,0.8,0.1,0.0,0.4,98.2,0.8,0.1,0.0,0.4,48929.0,81.9,16.0
PA,jefferson hills borough,95.9,1.8,0.1,1.3,0.9,95.9,1.8,0.1,1.3,0.9,77854.0,95.9,3.5
PA,jenkintown borough,90.2,5.7,0.0,2.0,3.0,90.2,5.7,0.0,2.0,3.0,63792.0,98.4,14.2
PA,jennerstown borough,98.7,0.1,0.0,0.0,0.4,98.7,0.1,0.0,0.0,0.4,45885.0,93.9,7.1
PA,jermyn borough,96.8,1.1,0.3,0.4,2.1,96.8,1.1,0.3,0.4,2.1,42083.0,88.2,15.0
PA,jerome cdp,98.0,0.0,0.0,0.3,0.8,98.0,0.0,0.0,0.3,0.8,46356.0,85.5,5.3
PA,jersey shore borough,97.9,0.8,0.1,0.2,0.6,97.9,0.8,0.1,0.2,0.6,42306.0,83.1,20.1
PA,jerseytown cdp,97.8,0.0,1.1,0.5,0.5,97.8,0.0,1.1,0.5,0.5,53750.0,82.5,2.3
PA,jessup borough,96.9,0.8,0.2,0.4,1.9,96.9,0.8,0.2,0.4,1.9,46250.0,91.2,11.0
PA,jim thorpe borough,96.9,0.4,0.0,0.6,2.5,96.9,0.4,0.0,0.6,2.5,50579.0,89.5,13.9
PA,joffre cdp,96.5,0.2,0.0,0.9,0.4,96.5,0.2,0.0,0.9,0.4,44643.0,89.7,7.0
PA,johnsonburg borough,98.1,0.1,0.2,0.3,1.5,98.1,0.1,0.2,0.3,1.5,38162.0,89.5,14.4
PA,johnstown city,80.0,14.6,0.2,0.2,3.1,80.0,14.6,0.2,0.2,3.1,24415.0,84.7,35.1
PA,jonestown cdp,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,42500.0,72.9,19.3
PA,jonestown borough,93.2,1.9,0.0,1.1,5.6,93.2,1.9,0.0,1.1,5.6,60347.0,95.8,8.0
PA,julian cdp,99.3,0.0,0.7,0.0,0.0,99.3,0.0,0.7,0.0,0.0,49063.0,91.1,13.0
PA,juniata terrace borough,98.0,0.0,0.4,0.2,1.5,98.0,0.0,0.4,0.2,1.5,31935.0,88.0,16.0
PA,kane borough,98.0,0.3,0.1,0.5,0.7,98.0,0.3,0.1,0.5,0.7,40938.0,89.5,19.5
